,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,,Unkn,,,34.3560531409165,34.3560531409165,0,NaN,NaN,NaN,0,60,
,A02,SYBR,,Unkn,,,30.7087835442913,30.7087835442913,0,NaN,NaN,NaN,0,60,
,A03,SYBR,,Unkn,,,29.7702638671789,29.7702638671789,0,NaN,NaN,NaN,0,60,
,A04,SYBR,,Unkn,,,30.5472976537625,30.5472976537625,0,NaN,NaN,NaN,0,60,
,A05,SYBR,,Unkn,,,27.5772716470358,27.5772716470358,0,NaN,NaN,NaN,0,60,
,A06,SYBR,,Unkn,,,27.4993347426003,27.4993347426003,0,NaN,NaN,NaN,0,60,
,A07,SYBR,,Unkn,,,27.6779239124834,27.6779239124834,0,NaN,NaN,NaN,0,60,
,A08,SYBR,,Unkn,,,26.9365083702817,26.9365083702817,0,NaN,NaN,NaN,0,60,
,A09,SYBR,,Unkn,,,28.178572181114,28.178572181114,0,NaN,NaN,NaN,0,60,
,A10,SYBR,,Unkn,,,27.4504348292584,27.4504348292584,0,NaN,NaN,NaN,0,60,
,A11,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,A12,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,B01,SYBR,,Unkn,,,34.6861762300111,34.6861762300111,0,NaN,NaN,NaN,0,60,
,B02,SYBR,,Unkn,,,30.7467510088829,30.7467510088829,0,NaN,NaN,NaN,0,60,
,B03,SYBR,,Unkn,,,30.2775807164949,30.2775807164949,0,NaN,NaN,NaN,0,60,
,B04,SYBR,,Unkn,,,30.6867177562394,30.6867177562394,0,NaN,NaN,NaN,0,60,
,B05,SYBR,,Unkn,,,28.0368323960507,28.0368323960507,0,NaN,NaN,NaN,0,60,
,B06,SYBR,,Unkn,,,27.5306679861927,27.5306679861927,0,NaN,NaN,NaN,0,60,
,B07,SYBR,,Unkn,,,27.9542022540828,27.9542022540828,0,NaN,NaN,NaN,0,60,
,B08,SYBR,,Unkn,,,27.4490391546581,27.4490391546581,0,NaN,NaN,NaN,0,60,
,B09,SYBR,,Unkn,,,27.9369258308841,27.9369258308841,0,NaN,NaN,NaN,0,60,
,B10,SYBR,,Unkn,,,27.2223635592079,27.2223635592079,0,NaN,NaN,NaN,0,60,
,B11,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,B12,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,C01,SYBR,,Unkn,,,34.7063686265005,34.7063686265005,0,NaN,NaN,NaN,0,60,
,C02,SYBR,,Unkn,,,30.8678120991668,30.8678120991668,0,NaN,NaN,NaN,0,60,
,C03,SYBR,,Unkn,,,29.6481240971465,29.6481240971465,0,NaN,NaN,NaN,0,60,
,C04,SYBR,,Unkn,,,30.2895540551888,30.2895540551888,0,NaN,NaN,NaN,0,60,
,C05,SYBR,,Unkn,,,27.5230540114933,27.5230540114933,0,NaN,NaN,NaN,0,60,
,C06,SYBR,,Unkn,,,27.1153081380861,27.1153081380861,0,NaN,NaN,NaN,0,60,
,C07,SYBR,,Unkn,,,27.5692542708089,27.5692542708089,0,NaN,NaN,NaN,0,60,
,C08,SYBR,,Unkn,,,27.1203726775892,27.1203726775892,0,NaN,NaN,NaN,0,60,
,C09,SYBR,,Unkn,,,27.8042847746051,27.8042847746051,0,NaN,NaN,NaN,0,60,
,C10,SYBR,,Unkn,,,27.0807547030678,27.0807547030678,0,NaN,NaN,NaN,0,60,
,C11,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,C12,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,D01,SYBR,,Unkn,,,26.2036418091227,26.2036418091227,0,NaN,NaN,NaN,0,60,
,D02,SYBR,,Unkn,,,23.4455158672964,23.4455158672964,0,NaN,NaN,NaN,0,60,
,D03,SYBR,,Unkn,,,22.4755643859872,22.4755643859872,0,NaN,NaN,NaN,0,60,
,D04,SYBR,,Unkn,,,21.927803136874,21.927803136874,0,NaN,NaN,NaN,0,60,
,D05,SYBR,,Unkn,,,22.5506825428672,22.5506825428672,0,NaN,NaN,NaN,0,60,
,D06,SYBR,,Unkn,,,22.213238519637,22.213238519637,0,NaN,NaN,NaN,0,60,
,D07,SYBR,,Unkn,,,22.1581405399989,22.1581405399989,0,NaN,NaN,NaN,0,60,
,D08,SYBR,,Unkn,,,21.3346877312136,21.3346877312136,0,NaN,NaN,NaN,0,60,
,D09,SYBR,,Unkn,,,22.5668189070522,22.5668189070522,0,NaN,NaN,NaN,0,60,
,D10,SYBR,,Unkn,,,21.8080389280254,21.8080389280254,0,NaN,NaN,NaN,0,60,
,D11,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,D12,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,E01,SYBR,,Unkn,,,26.1733859150337,26.1733859150337,0,NaN,NaN,NaN,0,60,
